,Title,Description,Location,Price,Condition
159,Suzuki GSX / Katana 2000 Black,"Working perfectly OK, my daily ride. For inspection, meeting point will be murtala international...","Lagos, Ikeja","₦ 650,000",Foreign Used
160,Yamaha Majesty 2017 Gray,"Clean Japanese tokunbo yamaha majesty 250cc, a perfect bike for long and short trip on a low fuel...","Lagos, Ogba","₦ 980,000",Black
161,Jincheng Bike 2008 Blue,Very strong Jincheng motorcycle with just fixed two new tires. front and back.,"Kwara, Ilorin East","₦ 250,000",Foreign Used
162,Suzuki 2018 White,A foreign used suzuki skywave available for sale in any color. no fault to repair... working...,"Lagos, Ojo","₦ 900,000",Black
163,Daylong DL150-KTL 2022 Blue,"Daylong Tricycle in a perfect working condition. It’s very fuel economical, cheap to maintain and...","Rivers, Port-Harcourt","₦ 850,000",Foreign Used
164,Polaris PZR 2021 Red,Slingshot SL Red Pearl- Autodrive 2021 model red on black interior,"Lagos, Ojodu","₦ 28,500,000",Red
165,New Jincheng JC 150 T 2020 Silver,PROMO Brand new jincheng jt150t-a scooter motorcycle in fantastic working condition. located at...,"Kwara, Ilorin South","₦ 595,000",Foreign Used
166,New Bajaj 2019 White,The Tricycle ambulance also known as Keke ambulance is an innovation into the interors of our...,"Lagos, Ikeja","₦ 3,800,000",Black
167,Yamaha FZ 1989,Yamaha FJ1200 Nigeria used working perfectly fine,"Lagos, Abule Egba","₦ 900,000",Nigerian Used
168,Honda 2009 Silver,Injector Bick parfect okay,"Oyo, Ibadan","₦ 2,500,000",Blue
169,Qlink X-ranger 200 2020 Black,Qlink x ranger 200 neatly Nigeria used for sale,"Kwara, Ilorin West","₦ 655,000",Foreign Used
170,Haojue HJ110-5 2021 Orange,Very neat and clean haojue lucky plus. Engine is in perfect working condition and it has never been...,"Kwara, Ilorin West","₦ 900,000",Blue
171,Yamaha Road Star 2018 Blue,Buy your direct tokunbo power bike for both long and short range distance... It is in good...,"Lagos, Ojo","₦ 5,200,000",Nigerian Used
172,Bajaj Boxer 2023 Red,120 bike boxer bajaj clean and newly,"Ondo, Isua","₦ 500,000",Yellow
173,Tricycle 2021 Blue,Tvs model engine and gear in top notch condition buy and drive first body,"Rivers, Obio-Akpor","₦ 920,000",Nigerian Used
174,SYM Fnx 125 2017 Brown,"Clean Japanese tokunbo sym rx110, a perfect bike for long and short trip on a low fuel consumption...","Lagos, Ogba","₦ 450,000",Black
175,Bajaj RE 2002 Yellow,Very Neat and Sharp Bajaj The body is complete first body The engine and gear are perfect Just buy...,"Enugu, Enugu / Enugu State","₦ 800,000",Foreign Used
176,Suzuki 2006 Black,2006 foreign used suzuki lets2,"Lagos, Yaba","₦ 200,000",Red
177,Qlink XP 200 2019 Black,"This is fairly used qlink champion with engine capacity of 200cc, it comes with plastic box, and...","Abuja, Lokogoma","₦ 650,000",Nigerian Used
178,Qlink X-ranger 200 2019 Red,Qlink ranger parked for long,"Lagos, Yaba","₦ 750,000",Red
179,TVS HLX 125 2022 Yellow,Very good condition. just changed the engineto new one few days ago,"Kwara, Ilorin South","₦ 1,700,000",Foreign Used
180,New Motorcycle 2023,A new MaxS is a good product very strong and balance fan coolant is very strong tricycle the...,"Lagos, Agege","₦ 2,300,000",White
181,Bajaj Boxer 100 2021 Black,It works perfectly fine just buy.and.ride i.need.money.that.why.am.selling it.only.for the.serious...,"Lagos, Ojodu","₦ 350,000",Brand New
